Comment,Designator,Footprint,LCSC,Quantity
LED,D2,LED_D3.0mm,,1
NE555P,U1,DIP-8_W7.62mm,,1
LED,D6,LED_D3.0mm,,1
LED,D3,LED_D3.0mm,,1
Conn_01x02_Socket,J1,PinHeader_1x02_P2.54mm_Vertical,,1
LED,D1,LED_D3.0mm,,1
LED,D8,LED_D3.0mm,,1
LED,D9,LED_D3.0mm,,1
Conn_01x01_Socket,J2,PinHeader_1x01_P2.54mm_Vertical,,1
4017,U2,N16,,1
LED,D5,LED_D3.0mm,,1
1k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
LED,D7,LED_D3.0mm,,1
1uF,C2,C_Disc_D7.5mm_W2.5mm_P5.00mm,,1
LED,D4,LED_D3.0mm,,1
470,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
LED,D10,LED_D3.0mm,,1
0.01uF,C1,CP_Radial_D5.0mm_P2.00mm,,1
50k,RV1,Potentiometer_Vishay_T93YA_Vertical,,1
